QCAT,QCMAT,GRIT1,SDSAST,AMAT1,IGT,ENDAT,IRRAT,NKB,TCB,BAT,MCAT,IRITD3,IRITD5,KT1,KT2,KT1.1,KT2.1
,,,,,224795_x_at,206187_at,,,,225081_s_at,,1569372_at,201697_s_at,215603_x_at,,209425_at,
,,,,,214768_x_at,209081_s_at,,,,226106_at,,1569642_at,201718_s_at,240517_at,,209426_s_at,
,,,,,215121_x_at,200666_s_at,,,,210432_s_at,,1570279_at,201719_s_at,217288_at,,209459_s_at,
,,,,,1558176_at,209869_at,,,,234725_s_at,,1570410_at,201744_s_at,209966_x_at,,209460_at,
,,,,,216430_x_at,205609_at,,,,205316_at,,200016_x_at,201798_s_at,223074_s_at,,209531_at,
,,,,,215036_at,204114_at,,,,220987_s_at,,200018_at,201852_x_at,1569141_a_at,,209616_s_at,
,,,,,216560_x_at,221529_s_at,,,,1563674_at,,200031_s_at,201890_at,1563265_at,,209660_at,
,,,,,216566_at,207624_s_at,,,,205861_at,,200038_s_at,201893_x_at,241928_at,,209696_at,
,,,,,216984_x_at,206377_at,,,,229513_at,,200061_s_at,201930_at,1570316_at,,209699_x_at,
,,,,,217235_x_at,223279_s_at,,,,203753_at,,200088_x_at,202007_at,227094_at,,209916_at,
,,,,,230128_at,203780_at,,,,208078_s_at,,200095_x_at,202008_s_at,231192_at,,209975_at,
,,,,,233969_at,205572_at,,,,39318_at,,200621_at,202018_s_at,227180_at,,209976_s_at,
,,,,,234364_at,203868_s_at,,,,223750_s_at,,200635_s_at,202075_s_at,206259_at,,210063_at,
,,,,,234366_x_at,204041_at,,,,217979_at,,200636_s_at,202107_s_at,207057_at,,210066_s_at,
,,,,,234381_at,205943_at,,,,220068_at,,200637_s_at,202126_at,210834_s_at,,210067_at,
,,,,,234416_at,210762_s_at,,,,226912_at,,200644_at,202127_at,1570180_at,,210068_s_at,
,,,,,234851_at,1556037_s_at,,,,212774_at,,200653_s_at,202145_at,209623_at,,210096_at,
,,,,,234877_x_at,233391_at,,,,242104_at,,200655_s_at,202310_s_at,209735_at,,210119_at,
,,,,,234884_x_at,41577_at,,,,236307_at,,200660_at,202311_s_at,228945_s_at,,210165_at,
,,,,,234707_x_at,202052_s_at,,,,244172_at,,200665_s_at,202312_s_at,223721_s_at,,210328_at,
,,,,,215214_at,202084_s_at,,,,243798_at,,200674_s_at,202350_s_at,244825_at,,210377_at,
,,,,,211646_at,221841_s_at,,,,235278_at,,200678_x_at,202388_at,226553_at,,210771_at,
,,,,,214836_x_at,201473_at,,,,1558185_at,,200704_at,202403_s_at,204720_s_at,,210862_s_at,
,,,,,215176_x_at,202998_s_at,,,,243395_at,,200705_s_at,202404_s_at,1569536_at,,210906_x_at,
,,,,,215217_at,218995_s_at,,,,242563_at,,200706_s_at,202434_s_at,226189_at,,211173_at,
,,,,,215906_at,202801_at,,,,244535_at,,200715_x_at,202435_s_at,211549_s_at,,211174_s_at,
,,,,,216576_x_at,222885_at,,,,239946_at,,200716_x_at,202436_s_at,207542_s_at,,211322_s_at,
,,,,,216829_at,205779_at,,,,241577_at,,200749_at,202437_s_at,213222_at,,211552_s_at,
,,,,,217034_at,209555_s_at,,,,224989_at,,200750_s_at,202450_s_at,229230_at,,211653_x_at,
,,,,,217036_at,206210_s_at,,,,1557558_s_at,,200766_at,202581_at,227492_at,,211682_x_at,
,,,,,217145_at,204236_at,,,,242509_at,,200779_at,202625_at,207129_at,,211726_s_at,
,,,,,217151_at,,,,,222326_at,,200782_at,202626_s_at,204476_s_at,,211806_s_at,
,,,,,217172_at,,,,,1557811_a_at,,200787_s_at,202685_s_at,204058_at,,213017_at,
,,,,,217239_x_at,,,,,216766_at,,200788_s_at,202686_s_at,211689_s_at,,213706_at,
,,,,,215777_at,,,,,230970_at,,200796_s_at,202765_s_at,216219_at,,213712_at,
,,,,,216366_x_at,,,,,239862_at,,200797_s_at,202766_s_at,229638_at,,213938_at,
,,,,,216371_at,,,,,1564248_at,,200798_x_at,202833_s_at,202890_at,,214046_at,
,,,,,216372_at,,,,,230014_at,,200808_s_at,202870_s_at,232457_at,,214069_at,
,,,,,216378_at,,,,,233127_at,,200809_x_at,202901_x_at,226647_at,,214203_s_at,
,,,,,217222_at,,,,,1558105_a_at,,200817_x_at,202902_s_at,203472_s_at,,214259_s_at,
,,,,,1568558_x_at,,,,,1566428_at,,200834_s_at,202952_s_at,236024_at,,214274_s_at,
,,,,,211633_x_at,,,,,1566825_at,,200835_s_at,203083_at,217111_at,,214307_at,
,,,,,214777_at,,,,,211639_x_at,,200836_s_at,203167_at,207215_at,,214308_s_at,
,,,,,216363_at,,,,,211650_x_at,,200866_s_at,203236_s_at,229534_at,,214347_s_at,
,,,,,217384_x_at,,,,,217258_x_at,,200871_s_at,203305_at,229386_at,,214478_at,
,,,,,217390_x_at,,,,,226550_at,,200872_at,203325_s_at,1558785_a_at,,214621_at,
,,,,,217469_at,,,,,227749_at,,200885_at,203381_s_at,1557578_at,,214832_at,
